status,loan_amnt,term,annual_inc,dti,payment_inc_ratio,revol_bal,revol_util,purpose,home_ownership,delinq_2yrs_zero,pub_rec_zero,open_acc,grade,outcome,emp_length,purpose_,home_,emp_len_
Fully Paid,5000,36 months,24000,27.65,8.1435,13648.0,83.7,credit_card,RENT,1,1,3,5.4,paid off,11,credit_card,RENT, > 1 Year
Charged Off,2500,60 months,30000,1.0,2.3932,1687.0,9.4,car,RENT,1,1,3,4.8,default,1,major_purchase,RENT, > 1 Year
Fully Paid,2400,36 months,12252,8.72,8.25955,2956.0,98.5,small_business,RENT,1,1,2,5.0,paid off,11,small_business,RENT, > 1 Year
Fully Paid,10000,36 months,49200,20.0,8.27585,5598.0,21.0,other,RENT,1,1,10,4.2,paid off,11,other,RENT, > 1 Year
Fully Paid,5000,36 months,36000,11.2,5.21533,7963.0,28.3,wedding,RENT,1,1,9,6.8,paid off,4,other,RENT, > 1 Year
Fully Paid,3000,36 months,48000,5.35,2.73575,8221.0,87.5,car,RENT,1,1,4,2.2,paid off,10,major_purchase,RENT, > 1 Year
Charged Off,5600,60 months,40000,5.55,4.5717,5210.0,32.6,small_business,OWN,1,1,11,1.4,default,5,small_business,OWN, > 1 Year
Charged Off,5375,60 months,15000,18.08,9.716,9279.0,36.5,other,RENT,1,1,2,6.0,default,1,other,RENT, > 1 Year
Fully Paid,6500,60 months,72000,16.12,2.5575,4032.0,20.6,debt_consolidation,OWN,1,1,14,4.6,paid off,6,debt_consolidation,OWN, > 1 Year
Fully Paid,12000,36 months,75000,10.78,6.44064,23336.0,67.1,debt_consolidation,OWN,1,1,12,6.0,paid off,11,debt_consolidation,OWN, > 1 Year
Charged Off,9000,36 months,30000,10.08,12.2152,10452.0,91.7,debt_consolidation,RENT,1,1,4,4.2,default,1,debt_consolidation,RENT, > 1 Year
Fully Paid,3000,36 months,15000,12.56,7.7344,7323.0,43.1,credit_card,RENT,1,1,11,5.2,paid off,4,credit_card,RENT, > 1 Year
Charged Off,10000,36 months,100000,7.06,3.90888,11997.0,55.5,other,RENT,1,1,14,5.4,default,4,other,RENT, > 1 Year
Fully Paid,1000,36 months,28000,20.31,1.51329,6524.0,81.5,debt_consolidation,RENT,1,1,11,3.2,paid off,1,debt_consolidation,RENT, > 1 Year
Fully Paid,10000,36 months,42000,18.6,9.94229,24043.0,70.2,home_improvement,RENT,1,1,14,4.8,paid off,5,home_improvement,RENT, > 1 Year
Fully Paid,3600,36 months,110000,10.52,1.19531,22836.0,16.0,major_purchase,MORTGAGE,1,1,20,6.2,paid off,11,major_purchase,MORTGAGE, > 1 Year
Fully Paid,6000,36 months,84000,18.44,2.83514,0.0,37.73,medical,MORTGAGE,0,1,4,5.6,paid off,2,medical,MORTGAGE, > 1 Year
Fully Paid,9200,36 months,77385,9.86,4.34208,7314.0,23.1,debt_consolidation,RENT,1,1,8,6.2,paid off,7,debt_consolidation,RENT, > 1 Year
Charged Off,21000,36 months,105000,13.22,8.01977,32135.0,90.3,debt_consolidation,RENT,1,1,7,5.8,default,11,debt_consolidation,RENT, > 1 Year
Fully Paid,10000,36 months,50000,11.18,7.93824,10056.0,82.4,credit_card,OWN,1,1,8,5.6,paid off,11,credit_card,OWN, > 1 Year
Fully Paid,10000,36 months,50000,16.01,7.93824,17800.0,91.8,debt_consolidation,RENT,1,1,6,5.6,paid off,6,debt_consolidation,RENT, > 1 Year
Charged Off,6000,36 months,76000,2.4,3.13358,5963.0,29.7,major_purchase,RENT,1,1,7,5.6,default,2,major_purchase,RENT, > 1 Year
Fully Paid,15000,36 months,92000,29.44,6.30496,13707.0,93.9,credit_card,MORTGAGE,1,1,8,5.2,paid off,3,credit_card,MORTGAGE, > 1 Year
Charged Off,15000,36 months,60000,15.22,10.2928,5872.0,57.6,debt_consolidation,RENT,1,1,7,4.4,default,10,debt_consolidation,RENT, > 1 Year
Charged Off,5000,60 months,50004,13.97,2.96736,4345.0,59.5,other,RENT,0,1,14,3.4,default,3,other,RENT, > 1 Year
Fully Paid,4000,36 months,106000,5.63,1.49785,6110.0,37.7,debt_consolidation,MORTGAGE,0,1,12,5.6,paid off,11,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,8500,36 months,25000,12.19,13.4952,6441.0,59.1,credit_card,RENT,1,1,8,5.6,paid off,1,credit_card,RENT, > 1 Year
Fully Paid,4375,36 months,17108,20.34,9.54711,11210.0,86.9,debt_consolidation,MORTGAGE,1,1,6,6.6,paid off,8,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,31825,36 months,75000,14.03,15.9331,23151.0,27.4,debt_consolidation,MORTGAGE,1,1,12,6.8,paid off,6,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,5000,36 months,24044,11.93,7.92397,2224.0,29.3,debt_consolidation,RENT,1,1,8,7.0,paid off,3,debt_consolidation,RENT, > 1 Year
Fully Paid,7000,36 months,34000,6.35,8.68129,6113.0,60.5,credit_card,RENT,1,1,6,5.0,paid off,8,credit_card,RENT, > 1 Year
Fully Paid,12400,36 months,41000,11.8,11.8218,11095.0,57.2,credit_card,RENT,1,1,9,5.4,paid off,11,credit_card,RENT, > 1 Year
Fully Paid,10800,36 months,55596,5.5,7.51198,2535.0,13.3,moving,RENT,1,1,7,5.2,paid off,3,other,RENT, > 1 Year
Fully Paid,15000,36 months,45000,8.48,12.5163,6704.0,50.4,debt_consolidation,RENT,1,1,7,6.8,paid off,2,debt_consolidation,RENT, > 1 Year
Fully Paid,6000,36 months,36852,10.62,6.52882,7310.0,66.5,debt_consolidation,RENT,1,1,7,5.8,paid off,2,debt_consolidation,RENT, > 1 Year
Fully Paid,9600,36 months,68004,6.63,5.27034,2896.0,18.1,other,RENT,1,1,6,6.6,paid off,5,other,RENT, > 1 Year
Fully Paid,12000,36 months,62300,16.7,7.23255,8601.0,21.0,debt_consolidation,RENT,1,1,15,6.8,paid off,11,debt_consolidation,RENT, > 1 Year
Fully Paid,3000,36 months,65000,17.39,2.00935,43936.0,98.1,other,MORTGAGE,1,1,8,4.0,paid off,10,other,MORTGAGE, > 1 Year
Fully Paid,4400,36 months,55000,20.01,3.41171,25237.0,99.0,debt_consolidation,RENT,1,1,7,3.4,paid off,11,debt_consolidation,RENT, > 1 Year
Fully Paid,6000,36 months,45600,5.34,4.80579,3378.0,32.5,debt_consolidation,MORTGAGE,1,1,6,6.2,paid off,11,debt_consolidation,MORTGAGE, > 1 Year
Fully Paid,14000,36 months,80000,10.0,6.76725,2219.0,13.4,small_business,RENT,1,1,7,5.2,paid off,7,small_business,RENT, > 1 Year
