"TaxAssessedValue","SqFtTotLiving","ZipCode"
NA,1730,"98117"
206000,1870,"98002"
303000,1530,"98166"
361000,2000,"98108"
459000,3150,"98108"
223000,1570,"98032"
259000,1770,"98168"
175000,1150,"98168"
178000,1980,"98168"
186000,1490,"98168"
202000,830,"98108"
210000,1130,"98108"
193000,1560,"98108"
299000,2340,"98108"
196000,1152,NA
167000,880,"98055"
236000,1520,"98055"
221000,1630,"98055"
321000,700,"98122"
420000,1470,NA
346000,1170,"98116"
475000,1530,"98007"
517000,1910,"98007"
650000,2480,"98052"
375000,2600,"98038"
423000,2480,"98038"
1439000,2680,"98146"
485000,2120,"98146"
1134000,2460,"98136"
764000,3420,"98136"
347000,1400,"98146"
445000,2810,"98146"
669000,3660,NA
208000,2020,"98178"
284000,2340,"98118"
211000,1480,"98118"
728000,1400,"98059"
282000,1710,"98059"
364000,1720,"98059"
1467000,1100,"98027"
1467000,5590,"98027"
1261000,3060,NA
445000,1150,"98008"
445000,1460,"98007"
413000,1480,"98007"
356000,1100,"98008"
657000,2400,"98008"
633000,1980,"98075"
351000,1440,"98042"
432000,1460,"98042"
345000,1520,"98092"
321000,1900,"98092"
302000,1920,"98092"
394000,2360,"98042"
417000,3480,"98092"
253000,1150,"98010"
688000,3420,NA
555000,3360,"98051"
300000,2250,"98051"
444000,2860,NA
290000,2510,"98051"
1146000,3230,"98040"
1293000,2870,"98040"
1123000,3210,"98040"
133000,950,"98198"
466000,3970,"98042"
307000,2000,"98042"
468000,2730,"98042"
507000,2720,"98038"
413000,2165,"98038"
585000,3410,"98038"
410000,1910,"98038"
658000,2580,"98052"
752000,3730,"98052"
662000,2530,"98052"
664000,2580,"98052"
658000,2540,"98052"
637000,2370,"98052"
651000,2520,"98052"
693000,2580,"98052"
707000,2820,"98052"
723000,2770,"98052"
595000,2540,"98052"
555000,2180,"98052"
690000,3330,"98052"
734000,3120,"98052"
685000,3110,"98052"
660000,3030,"98052"
662000,3010,"98052"
639000,2820,"98052"
618000,2670,"98052"
293000,1850,"98042"
309000,2190,"98042"
179000,1200,"98108"
220000,1480,NA
127000,820,"98002"
354000,1580,"98038"
370000,1920,"98038"
490000,3260,"98038"
1409000,3680,"98136"
491000,2100,"98146"
822000,2820,"98146"
657000,2270,"98146"
329000,1540,"98146"
135000,950,"98118"
236000,1570,"98118"
243000,1830,"98059"
206000,1160,"98065"
671000,5100,"98065"
843000,810,"98075"
898000,2920,"98027"
475000,2020,"98075"
749000,2930,"98075"
593000,2450,"98117"
593000,340,"98117"
343000,840,"98117"
330000,1700,"98117"
350000,1060,"98117"
537000,1770,"98117"
440000,970,"98117"
161000,1120,"98058"
546000,2510,"98038"
269000,1750,"98126"
185000,1600,"98106"
235000,2100,"98106"
150000,760,"98106"
307000,1860,"98146"
182000,1110,"98146"
198000,1090,"98126"
235000,2060,"98146"
331000,1880,"98146"
183000,1350,"98106"
291000,1270,"98146"
216000,1920,"98106"
233000,1570,"98146"
333000,1960,"98146"
337000,1830,"98146"
238000,1090,"98146"
377000,2130,"98146"
245000,2400,"98146"
425000,1870,NA
716000,4980,"98059"
681000,4060,"98059"
549000,2790,"98059"
542000,2020,"98027"
645000,2200,"98075"
601000,2120,"98075"
460000,1930,"98075"
544000,2250,"98075"
556000,2050,"98117"
539000,1620,"98117"
337000,710,"98117"
525000,1760,"98117"
428000,1400,"98117"
842000,4230,"98052"
1282000,4240,NA
1185000,4414,NA
150000,4670,NA
823635,3445,"98014"
436000,1430,"98177"
265000,1000,"98177"
1419000,4160,"98177"
634000,2280,"98177"
415000,1750,"98177"
327000,1310,"98177"
549000,2670,"98177"
565000,2660,"98177"
711000,3070,"98177"
2958000,5940,"98136"
220000,1130,"98178"
284000,2440,"98178"
303000,2430,"98178"
238000,2390,"98178"
205000,1290,"98118"
232000,1990,"98118"
276000,1750,"98059"
373000,1710,"98059"
441000,2310,"98059"
361000,2210,"98059"
457000,3190,"98059"
305000,1800,"98027"
647000,3640,"98027"
362000,1580,"98027"
366000,540,"98027"
366000,1470,"98027"
303000,1800,"98027"
346000,1740,"98027"
356000,1620,"98045"
312000,2385,"98045"
220000,1320,"98045"
445000,2440,"98045"
396000,1340,"98045"
863000,2730,"98070"
399000,2730,"98038"
363000,2010,"98038"
202000,1100,"98038"
535000,2220,"98038"
481000,1920,"98038"
710000,2390,"98146"
392000,1310,"98136"
416000,2040,"98146"
722000,3190,"98146"
944000,2740,"98146"
194000,1050,"98118"
232000,1940,"98118"
346000,2110,"98118"
102000,500,"98178"
161000,1060,"98178"
229000,1180,"98059"
336000,1380,"98065"
1589000,2930,"98008"
1589000,680,"98008"
499000,1680,"98007"
444000,2040,"98007"
423000,1850,"98007"
766000,2840,"98007"
NA,1010,"98032"
NA,1760,"98146"
NA,1740,"98047"
166000,940,"98002"
244000,1200,"98108"
426000,2190,"98108"
285000,2160,"98108"
467000,1640,"98108"
391000,2860,"98108"
350000,1480,"98108"
256000,2360,"98032"
298000,3200,"98168"
250000,1750,"98168"
217000,1820,"98168"
154000,800,"98168"
510000,2040,"98144"
260000,2330,"98178"
342000,2360,"98108"
208000,1770,"98022"
361283,2720,"98022"
231000,1360,"98030"
187000,1270,"98055"
257000,1480,"98055"
186000,1010,"98055"
NA,2190,"98070"
NA,850,"98032"
387000,3810,"98002"
286000,2400,"98002"
792000,4820,"98166"
276000,650,"98108"
262000,1800,"98108"
330000,3440,"98032"
165000,1020,"98168"
249000,1660,"98188"
331000,4320,"98178"
272000,760,"98144"
352000,1540,"98144"
291000,930,"98144"
291000,930,"98144"
406000,2530,"98108"
331000,1510,"98108"
468000,760,"98030"
468000,3800,"98030"
202000,960,"98055"
262000,2020,"98118"
270000,1955,"98118"
369000,2630,"98118"
689000,3080,"98122"
185000,1460,"98002"
443000,1780,"98052"
421000,1870,"98052"
474000,1940,"98052"
553000,2350,"98052"
471000,1870,"98052"
407000,1440,"98052"
405000,1700,"98052"
511000,2450,"98052"
602000,1820,"98040"
659000,1480,"98040"
384000,1600,"98136"
445000,2680,"98136"
461000,1150,"98136"
203000,770,"98126"
245000,1510,"98126"
253000,920,"98126"
381000,1750,"98146"
182000,1170,"98168"
146200,400,"98168"
146200,1730,"98168"
158000,1300,"98168"
303000,1980,"98168"
578000,4050,NA
1396000,4260,NA
647846,2890,NA
431000,1660,"98033"
392000,1440,"98033"
341000,1250,"98177"
952000,3820,"98177"
590000,3380,"98177"
489000,2090,"98177"
495000,2290,"98177"
495000,510,"98177"
495000,490,"98177"
407000,2300,"98177"
313000,1300,"98177"
333000,1370,"98177"
449000,2350,"98177"
820000,4210,"98177"
544000,1700,"98028"
690000,3716,"98072"
1078000,4660,"98072"
359000,1840,"98072"
871000,3690,"98072"
499000,2560,"98072"
401000,1950,"98072"
734000,4160,"98072"
377000,1050,"98107"
409000,910,"98107"
556000,1040,"98008"
528000,2360,"98008"
434000,1870,"98008"
443000,2160,"98008"
679000,2500,"98008"
887000,3120,"98008"
937000,3590,"98008"
588000,2330,"98075"
1059000,4330,"98075"
606000,1590,"98117"
555000,1520,"98117"
423000,1240,"98117"
480000,2460,"98052"
237460,1840,"98014"
355000,2040,"98014"
393000,2240,"98133"
365000,1870,"98177"
307000,1030,"98177"
364000,1420,"98177"
496000,2450,"98177"
287000,1180,"98177"
378000,2000,"98177"
657000,3080,"98177"
415000,2800,"98177"
368000,1780,"98177"
728000,3780,"98177"
418000,1620,"98177"
239000,960,"98028"
461000,2140,"98072"
560000,2120,"98072"
717000,3130,"98072"
607000,2900,"98072"
463000,1560,"98072"
812000,4070,"98072"
840000,3620,"98072"
284000,1632,NA
444000,2480,"98224"
291000,2150,"98108"
362000,2420,"98108"
230000,1880,"98188"
206000,1280,"98188"
217000,1650,"98188"
237000,1510,"98188"
665000,2750,"98188"
365000,2000,"98188"
260000,2560,"98188"
345000,1924,"98045"
423000,2780,"98045"
378000,1340,"98116"
553000,2500,"98116"
365000,1080,"98116"
375000,950,"98116"
429000,1180,"98005"
918000,3190,"98007"
425000,1740,"98075"
774000,2770,"98075"
734000,2300,"98075"
974000,3990,"98075"
1513000,3440,"98115"
449000,1390,"98115"
497000,2120,"98052"
533000,2080,"98052"
822000,4249,"98052"
887000,3565,"98053"
693000,3110,"98053"
933000,3825,"98014"
737506,3967,"98014"
273000,1300,"98155"
341000,1540,"98155"
355000,1960,"98155"
782000,1290,"98075"
1890000,3190,"98075"
1432000,2290,"98075"
228000,830,"98075"
583000,2310,"98075"
534000,1880,"98075"
383000,1000,"98117"
441000,1410,"98117"
337000,710,"98117"
400000,1210,"98117"
861000,3420,NA
437000,1900,"98052"
690000,2720,"98053"
475000,1450,"98053"
902000,3680,NA
935000,3340,NA
1546000,6980,NA
669000,3200,"98177"
331000,1410,"98177"
355000,1270,"98177"
581000,2550,"98177"
542000,2541,"98177"
568000,1640,"98177"
550000,1940,"98177"
373000,2660,"98118"
307000,2880,"98118"
300000,2760,"98118"
291000,2600,"98118"
376000,1240,"98122"
553000,1680,NA
441000,1350,NA
328000,1470,"98122"
468000,1570,"98115"
326000,2150,"98001"
317000,2440,"98001"
517000,1910,"98007"
537000,2080,"98007"
499000,1530,"98007"
478000,2730,"98034"
898000,4260,"98052"
712000,2990,"98052"
736000,3150,"98052"
646000,2480,"98052"
633000,2360,"98052"
639000,2400,"98052"
717000,3060,"98052"
718000,3060,"98052"
589000,2470,"98052"
893000,5120,"98144"
394000,1250,NA
620000,2870,"98115"
359000,1100,"98116"
464000,2190,"98116"
281000,1380,"98001"
482000,1530,"98007"
517000,1910,"98007"
528000,1910,"98007"
439000,2220,"98034"
520000,3350,"98034"
681000,2770,"98052"
640000,2430,"98052"
695000,2870,"98052"
636000,2390,"98052"
573000,2270,"98052"
823000,4350,"98052"
664000,3010,"98052"
535000,2248,"98052"
641000,2810,"98052"
691000,3540,"98052"
235000,2430,"98108"
150000,720,NA
209000,2570,"98108"
171000,1200,"98168"
169000,1540,"98168"
144000,1040,"98168"
304000,2250,"98168"
148000,970,"98188"
175000,1330,"98188"
174000,1080,"98188"
185000,1280,"98168"
313000,2480,"98168"
200000,1440,"98168"
171000,1710,"98188"
661000,4990,NA
104000,600,"98188"
195000,1500,"98168"
169000,1180,"98188"
282000,3280,"98188"
318000,1900,"98146"
319000,2520,"98042"
319000,2520,"98042"
548000,3450,"98023"
566000,4290,"98023"
441000,3340,"98023"
347000,2930,"98023"
167000,1650,"98109"
167000,1220,"98224"
376000,2900,"98108"
320000,1560,"98118"
323000,3410,"98188"
169000,1000,"98188"
222000,1600,"98188"
196000,1350,"98188"
555000,3800,"98188"
939000,6960,"98188"
499000,3730,NA
442000,2820,"98188"
356000,1720,"98188"
324000,2250,"98188"
233000,1610,"98188"
340000,1514,"98188"
532000,4060,"98188"
316000,2270,"98188"
209000,1270,"98188"
214000,1900,"98198"
203000,1640,"98188"
204000,2020,"98168"
182000,1290,"98168"
357000,2900,"98031"
374000,3280,"98031"
440000,2360,"98177"
334000,1670,"98133"
430000,1980,"98177"
340000,1420,"98133"
388000,2210,"98177"
381000,2610,"98177"
358000,2020,"98177"
467000,2090,"98177"
390000,1560,"98177"
552000,2980,NA
300000,1170,"98028"
244000,840,"98028"
231000,1180,"98028"
418000,3300,"98028"
366000,2180,"98028"
266000,1120,"98028"
388000,2170,"98028"
514000,2810,NA
415000,2090,"98072"
306000,1130,"98072"
443000,1970,"98072"
454000,2660,"98072"
596000,2690,"98072"
467000,2180,"98072"
410000,1890,"98155"
688000,3630,"98072"
574000,2530,"98077"
782000,2270,"98115"
902000,2300,"98115"
981000,3310,"98115"
848000,2380,"98115"
1330000,3630,"98115"
1085000,4650,"98034"
677000,3770,"98052"
325000,1300,"98052"
331000,1300,"98052"
278000,870,"98052"
354000,1560,"98052"
800000,2360,"98122"
1357000,3272,"98122"
276000,1210,"98056"
230000,790,"98056"
425000,1830,"98155"
276000,2030,"98055"
750000,2270,"98040"
179000,1080,"98022"
275000,1790,"98022"
238000,2100,"98022"
184000,1090,"98188"
444000,3150,"98188"
324000,2310,"98188"
384000,710,"98188"
