status,grade
Fully Paid,B
Charged Off,C
Fully Paid,C
Fully Paid,C
Current,B
Fully Paid,A
Current,C
Fully Paid,E
Charged Off,F
Charged Off,B
Fully Paid,C
Fully Paid,B
Charged Off,C
Fully Paid,B
Charged Off,B
Fully Paid,D
Fully Paid,C
Fully Paid,A
Fully Paid,B
Fully Paid,A
Current,C
Charged Off,B
Fully Paid,B
Fully Paid,B
Charged Off,B
Fully Paid,B
Charged Off,C
Charged Off,D
Fully Paid,B
Fully Paid,B
Fully Paid,A
Fully Paid,A
Current,C
Fully Paid,A
Fully Paid,C
Fully Paid,B
Fully Paid,B
Fully Paid,A
Fully Paid,B
Current,B
Fully Paid,A
Fully Paid,A
Fully Paid,D
Fully Paid,D
Fully Paid,A
Fully Paid,B
Charged Off,A
Fully Paid,B
Fully Paid,A
Fully Paid,A
Charged Off,B
Fully Paid,B
Fully Paid,B
Charged Off,C
Fully Paid,B
Charged Off,E
Fully Paid,E
Fully Paid,B
Fully Paid,B
Fully Paid,D
Current,B
Current,D
Fully Paid,C
Fully Paid,D
Current,B
Fully Paid,B
Charged Off,D
Fully Paid,C
Charged Off,F
Fully Paid,C
Fully Paid,D
Charged Off,D
Fully Paid,C
Fully Paid,D
Fully Paid,A
Fully Paid,C
Fully Paid,C
Fully Paid,F
Fully Paid,A
Fully Paid,E
Fully Paid,D
Fully Paid,C
Fully Paid,B
Fully Paid,A
Fully Paid,B
Fully Paid,B
Current,D
Fully Paid,B
Fully Paid,D
Fully Paid,C
Fully Paid,B
Fully Paid,B
Fully Paid,E
Fully Paid,B
Fully Paid,B
Current,F
Fully Paid,B
Charged Off,D
Fully Paid,A
Current,B
Charged Off,B
Current,D
Fully Paid,A
Fully Paid,B
Fully Paid,A
Charged Off,D
Fully Paid,B
Fully Paid,C
Fully Paid,C
Fully Paid,B
Fully Paid,A
Fully Paid,A
Fully Paid,F
Fully Paid,B
Charged Off,D
Fully Paid,B
Fully Paid,A
Fully Paid,B
Fully Paid,A
Fully Paid,B
Late,C
Charged Off,B
Fully Paid,B
Fully Paid,B
Charged Off,E
Fully Paid,A
Fully Paid,C
Fully Paid,E
Fully Paid,A
Fully Paid,A
Fully Paid,B
Charged Off,C
Fully Paid,A
Fully Paid,C
Fully Paid,A
Fully Paid,A
Fully Paid,B
Charged Off,A
Fully Paid,B
Fully Paid,A
Fully Paid,E
Fully Paid,B
Fully Paid,C
Fully Paid,A
Fully Paid,B
Charged Off,B
Fully Paid,E
Fully Paid,E
Fully Paid,B
Current,D
Current,C
Charged Off,B
Fully Paid,D
Charged Off,C
Fully Paid,B
Charged Off,C
Fully Paid,C
Fully Paid,A
Fully Paid,B
Fully Paid,B
Late,C
Fully Paid,D
Fully Paid,B
Fully Paid,A
Fully Paid,C
Fully Paid,B
Fully Paid,C
Current,B
Charged Off,A
Fully Paid,B
Fully Paid,B
Fully Paid,C
Fully Paid,C
Fully Paid,B
Fully Paid,B
Charged Off,C
Charged Off,D
Charged Off,F
Fully Paid,B
Charged Off,B
Fully Paid,B
Fully Paid,B
Charged Off,D
Charged Off,D
Current,C
Fully Paid,B
Fully Paid,B
Current,C
Charged Off,B
Fully Paid,B
Fully Paid,B
Fully Paid,B
Fully Paid,D
Fully Paid,A
Charged Off,C
Fully Paid,B
Fully Paid,B
Fully Paid,B
Fully Paid,C
Fully Paid,C
Fully Paid,B
Fully Paid,C
Charged Off,B
Charged Off,D
Fully Paid,B
Fully Paid,A
Fully Paid,C
Fully Paid,B
Current,E
Fully Paid,C
Fully Paid,C
Charged Off,C
Fully Paid,C
Fully Paid,A
Fully Paid,B
